Name,Description,Rarity,Energy,Type,Mechanic,Upgrade,
Pillage,Deal 5 Damage. Draw a card for each of your familiars,Common,1,Attack,Familiar,3 damage,
Bramble Shield,Gain 7 block. Gain two block for each bramble created this turn.,Uncommon,1,Skill,Brambles,1 extra block per bramble,
Bottomless Cauldron,"Whenever you use another potion, create a wicked Brew.",Rare,3,Power,Potions,1 less energy,
Circle of Rot,You (and your allies if multi-player) gain 10 block. Apply 2 weak. Gain 2 weak,Uncommon,2,Skill,Debuff,"2 extra block, 1 extra weak  on both",
Bottle Wall,Gain 5 block and 4 block for each potion used this turn,Uncommon,1,Skill,Potion,"2 more block, 2 more block per potion",
Vicious Barbs,Brambles deal 3 extra damage.,Uncommon,1,Power,Brambles,2 extra damage,
Hedge Prison,Power: Brambles are permanent.,Rare,3,Power,Brambles,1 less energy,
Tiny Bottle,"Equivalent exchange: Steal 2 energy from an ally, give them a potion for each energy lost.",Uncommon,0,Skill,Potions,Potion becomes Potion+ (one rarity higher),
Rotting Roots,"Whenever you apply a debuff, gain, 3 brambles.",Uncommon,1,Power,Brambles,2 extra brambles,
Hexburst,Enemies take 6 damage for each unique debuff they have.,Uncommon,1,Attack,Debuff,2 extra damage,
Rancid Smoke,Spread all of your debuffs to ALL enemies. Exhaust.,Uncommon,2,Skill,Debuff,Remove exhaust,
Rat Familiar,"Add 3 plague Cards to your deck (0, draw a card, Lose 1 strength. Enemies lose 1 strength), Exhaust",Rare,1,Power,Familiars,Each loses 2 strength instead,
Ritual Sacrifice,Sacrifice a familiar - gain 20 block.,Uncommon,1,Skill,Familiars,5 extra block,
Weathered Witch Hat,"Gain 10 block, your next skill costs 1",Common,2,Skill,,3 extra block,
Chimera Familiar,Add three random familiar Cards to your deck.,Rare,1,Power,Familiars,1 extra card,
Wild Growth,Double your brambles. (Exhaust),Uncommon,1,Skill,Brambles,Remove exhaust,
Stampede,Each familiar deals 5 damage to the enemy.,Common,1,Attack,Familiars,3 more damage,
Porcupine Familiar,"Add 2 Quills to your deck (0, 3 damage, 8 brambles)",Uncommon,1,Power,Familiars,"Give Quills+ instead - 1 more damage, 2 more brambles",
Gather Herbs,The next potion you make is of a higher quality. Exhaust.,Common,1,Skill,Potion,Remove exhaust,
Moondrop Tea,"Gain 8 block, remove a random debuff.",Common,1,Skill,Debuff,3 more block,
Forbidden Magic,"Deal 15 damage, gain 2 weak.",Common,1,Attack,Debuff,"5 more damage, 1 more weak",
Stuck in the Bush: ,"Gain 20 block, gain 2 vulnerable.",Uncommon,2,Skill,Debuff,"5 more block, 1 more vulnerable",
Hidden in Smoke,Gain 1 intangible. Exhaust.,Rare,2,Skill,,1 less energy,
Cloak of Moonlight,"Whenever you create a card or potion, gain 3 block.",Uncommon,2,Power,Potion,1 less energy,
Herbal Remedy,"Destroy all potions, gain 1 energy for each potion. Exhaust",Uncommon,0,Skill,Potion,Remove exhaust,
Rattling Bottles,Fill your potion slots with Rock potions. Exhaust,Rare,3,Skill,Potion,1 less energy,
Bitter Root,"Whenever you use a potion, gain 4 brambles.",Uncommon,1,Power,Potion,2 extra brambles,
Needle whip,"Remove all brambles, enemies lose that much strength this turn. Exhaust.",Uncommon,1,Skill,Brambles,Remove exhaust,
Bind in Blood,"This turn, gain brambles for each life lost.",Common,1,Skill,Brambles,2 brambles for each life lost,
Dance Around the Cauldron,Create 1 Wicked Brew for each unspent energy at end of turn. (Wicked Brew),Common,1,Skill,Potions,1 less energy,
Bear familiar,"Add two cards (hibernate - 2 (gain 15 block, heal 3), Mutilate 2 (deal 30 damage, ignores block))",Rare,2,Power,Familiars,"Give Hibernate+ - Gain 20 block, heal 5
Give Mutilate+ - Deal 40 damage, ignores block",
Crow Familiar,"Add 2 'Scout' cards to your deck (1, Apply 2 vulnerable, 1 weak, gain 5 gold, Exhaust)",Rare,1,Power,Familiars,5 more gold,
Wolf familiar,Add 3 'Gnash' (Deal 5 damage - all pack tactics deal an additional 5 damage),Uncommon,1,Power,Familiars,3 more damage,
Roomy Satchel,Power - gain two potion slots.,Uncommon,1,Power,Potions,1 more potion slot,
Bottle Barrage,"For each potion created this combat, deal 10 damage.",Rare,2,Attack,Potinos,3 more damage,
Creeping vines,Add 5 brambles to a random ally X times.,Uncommon,X,Skill,Brambles,2 more brambles,
Brambleburst,"Deal 4 damage x times, where x is your brambles. Lose all brambles.",Uncommon,2,Attack,Brambles,1 more damage,
Cursed Bloodline,"Whenever you lose life, gain 3 brambles",Uncommon,1,Power,Brambles,1 more bramble,
Pact of Beasts,Put ALL created familiar cards into your hand.,Rare,2,Skill,Familiars,1 less energy,
Woe and Whimsy,"Create a random familiar card (ferocity, wisdom, ect)",Common,1,Skill,Familiars,Familiar card is upgraded,
Unstable Reaction,"Destroy all potions, deal 10 damage to each enemy for each.",Common,2,Attack,Potions,3 more damage,
Share the Brew,Allies gain a random potion,Uncommon,2,Skill,Potions,1 less energy,
Broom Strike,"Deal 15 damage, the next familiar power you play is free.",Common,2,Attack,Familiars,3 more damage,
Blood Boiling,Lose 10 life. Create a rare potion. Exhaust,Rare,1,Skill,Potions,1 less energy,
Lavender and Sage,"Draw two cards, gain 3 brambles.",Common,1,Skill,Brambles,2 more brambles,
Embrace the Wilds,Transform your hand into random familiars. They are free to cast. Exhaust,Rare,3,Skill,Familiars,1 less energy,
Serrated Bones,Gain 10 Brambles,Common,2,Skill,Brambles,3 more brambles,
Nettles,Deal 6 damage to all enemies plus 1 for each bramble.,Common,1,Attack,Brambles,3 more damage,
Something Wicked,Create an Offensive Potion,Common,2,Skill,Potions,Potion is 1 rarity level higher,
Toil and Trouble ,Create a Utility potion,Common,2,Skill,Potions,Potion is 1 rarity level higher,
Witch's Curse,Target enemy takes double  damage from potions this turn. Exhaust,Uncommon,1,Skill,Potions,Lose exhaust,
Cackle,"Create The Cauldron: (a big potion that does something really big), Exhaust",Rare,2,Skill,Potions,1 less energy,
Sloth familiar,Add 2 'Laze' Cards to your deck. (Draw a card gain 8 block - 0 mana),Common,2,Power,Familiars,Laze+ - 3 more block,
Bag of Teeth,Deal 1 damage 6 times.,Common,1,Attack,,2 more times,
Pocket Rats!,"Add 3 Rats to your hand, Exhaust (0 - 5 damage - Heal 1, Exhaust)",Rare,1,Skill,Familiars,1 extra rat,
Find Familiar,Search your deck for a familiar card and put it in your hand,Uncommon,1,Skill,Familiars,1 less energy,
